RecordingTime,PEC_Measured_Current,PEC_Measured_Power,PEC_Measured_Voltage,Batt_SOC_Calculated,Frm_Temperature_Limit,Batt_Temp_Cell,Batt_Temp_NegPost,Batt_Temp_PosPost,PEC_Accumulated_Current_In,PEC_Accumulated_Current_Out,Week_Counter,Test_Position_Timer,Test_Postn_Tmr_min,TC_Loop1PV,TC_Loop1SP,TC_Loop2PV,TC_Loop2SP,Batt_SOC_Req,PEC_Accumulated_Current_Total,PEC_Accumulated_Power_In,PEC_Accumulated_Power_Out,PEC_Accumulated_Power_Total,LoopCnt1,Batt_Chrg_Capacity_Ah,Batt_Chrg_Capacity_kWh,Batt_Dischrg_Capacity_Ah,Batt_Dischrg_Capacity_kWh,Batt_Throughput_Ah,Batt_Throughput_kWh
s,A,kW,V,%,-,°C,°C,°C,Ah,Ah,-,-,min,°C,°C,-,-,%,Ah,kWh,kWh,kWh,-,Ah,kWh,Ah,kWh,Ah,kWh
Double,Float,Float,Float,Float,Long,Float,Float,Float,Double,Double,Long,Long,Float,Float,Float,Float,Float,Float,Float,Double,Double,Float,Long,Float,Float,Float,Float,Double,Double
5.7,0.003721,0.000014,3.739266,49.99,0,26.93,10000000000.00,30.17,9.852332,-7.166918,1,5870,0.10,25.1,25.0,0.0,-1.0,50.00,2.685414,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019249,0.064308
5.8,0.003721,0.000014,3.739428,49.99,0,27.04,10000000000.00,30.05,9.852332,-7.166918,1,5970,0.10,25.1,25.0,0.0,-1.0,50.00,2.685414,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019250,0.064308
5.9,0.005773,0.000022,3.739428,49.99,0,26.74,10000000000.00,30.06,9.852332,-7.166918,1,6070,0.10,25.1,25.0,0.0,-1.0,50.00,2.685414,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019250,0.064308
6,0.001669,0.000006,3.739589,49.99,0,26.94,10000000000.00,30.01,9.852332,-7.166918,1,6170,0.10,25.1,25.0,0.0,-1.0,50.00,2.685414,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019250,0.064308
6.1,0.003721,0.000014,3.739589,49.99,0,26.88,10000000000.00,30.01,9.852332,-7.166918,1,6270,0.10,25.1,25.0,0.0,-1.0,50.00,2.685414,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019250,0.064308
6.2,0.003721,0.000014,3.739589,49.99,0,26.81,10000000000.00,29.98,9.852332,-7.166918,1,6370,0.11,25.1,25.0,0.0,-1.0,50.00,2.685414,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019250,0.064308
6.3,0.005773,0.000022,3.739751,49.99,0,26.91,10000000000.00,30.05,9.852332,-7.166918,1,6470,0.11,25.1,25.0,0.0,-1.0,50.00,2.685414,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019250,0.064308
6.4,0.003721,0.000014,3.739751,49.99,0,26.89,10000000000.00,30.00,9.852332,-7.166918,1,6570,0.11,25.1,25.0,0.0,-1.0,50.00,2.685415,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019250,0.064308
6.5,0.003721,0.000014,3.739751,49.99,0,26.95,10000000000.00,30.01,9.852332,-7.166918,1,6670,0.11,25.1,25.0,0.0,-1.0,50.00,2.685415,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019250,0.064308
6.6,0.003721,0.000014,3.739913,49.99,0,26.94,10000000000.00,30.03,9.852333,-7.166918,1,6770,0.11,25.1,25.0,0.0,-1.0,50.00,2.685415,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019250,0.064308
